DATE,TIME,HPCP
19960516,3:00,0.03
19960516,4:00,0.05
19960516,5:00,0.11
19960516,6:00,0.12
19960516,8:00,0.05
19960516,9:00,0.11
19960516,10:00,0.14
19960516,11:00,0.05
19960522,3:00,0.09
19960525,5:00,0.09
19960525,6:00,0.01
19960527,7:00,0.05
19960527,8:00,0.01
19960527,10:00,0.04
19960527,11:00,0.01
19960527,16:00,0.01
19960527,22:00,0.38
19960527,23:00,0.1
19960528,2:00,0.06
19960528,4:00,0.02
19960529,18:00,0.01
19960601,1:00,0
19960603,7:00,0.01
19960603,8:00,0.13
19960603,9:00,0.21
19960603,10:00,0.09
19960603,11:00,0.07
19960603,12:00,0.03
19960604,16:00,0.01
19960609,9:00,0.03
19960609,10:00,0.04
19960609,13:00,0.05
19960609,14:00,0.03
19960609,18:00,0.01
19960609,19:00,0.04
19960610,9:00,0.01
19960611,10:00,0.02
19960611,11:00,0.26
19960611,12:00,0.1
19960612,2:00,0.02
19960612,21:00,0.02
19960612,22:00,0.19
19960612,23:00,0.02
19960618,19:00,0.2
19960620,15:00,0.04
19960624,20:00,0.51
19960624,23:00,0.11
19960625,0:00,0.06
19960625,1:00,0.01
19960630,6:00,0.17
19960630,14:00,0.02
19960701,1:00,0
19960702,20:00,0
19960702,21:00,0
19960702,22:00,0
19960703,9:00,0
19960703,10:00,0
19960703,18:00,0.1
19960703,22:00,0
19960706,6:00,0
19960706,7:00,0
19960708,20:00,0
19960708,21:00,0.06
19960708,22:00,0.23
19960708,23:00,0.13
19960709,0:00,0.29
19960709,1:00,0.03
19960709,2:00,0
19960709,4:00,0
19960709,21:00,0
19960711,15:00,0
19960712,0:00,0
19960712,2:00,0
19960712,3:00,0
19960712,4:00,0
19960712,6:00,0.02
19960712,7:00,0
19960712,9:00,0.14
19960712,10:00,0
19960712,12:00,0
19960712,13:00,0
19960712,16:00,0.05
19960712,17:00,0.33
19960712,19:00,0.05
19960712,20:00,0.14
19960712,21:00,0.41
19960712,22:00,0.71
19960712,23:00,0.02
19960713,0:00,0.07
19960713,2:00,0.29
19960713,4:00,0.03
19960713,5:00,0
19960713,7:00,0.02
19960713,8:00,0
19960713,9:00,0
19960713,10:00,0
19960713,11:00,0
19960713,12:00,0
19960713,13:00,0
19960714,0:00,0.07
19960714,15:00,0
19960714,16:00,0.16
19960714,17:00,0.31
19960714,18:00,0.02
19960714,19:00,0
19960715,10:00,0
19960715,12:00,0
19960715,15:00,0.19
19960715,16:00,0
19960715,17:00,0.06
19960715,19:00,0
19960715,22:00,0.03
19960715,23:00,0.02
19960717,20:00,0
19960717,21:00,0
19960717,22:00,0
19960717,23:00,0
19960718,2:00,0
19960718,3:00,0
19960718,17:00,0.13
19960718,18:00,0.25
19960718,20:00,0
19960718,21:00,0
19960718,22:00,0
19960718,23:00,0.69
19960719,1:00,0
19960719,3:00,0
19960719,4:00,0
19960719,15:00,0
19960723,2:00,0
19960724,2:00,0
19960725,17:00,0
19960725,18:00,0.17
19960725,19:00,0.03
19960725,23:00,0
19960726,0:00,0
19960726,7:00,0.02
19960729,4:00,0.02
19960729,5:00,0.11
19960729,6:00,0.11
19960729,7:00,0.33
19960729,9:00,0
19960730,9:00,0.09
19960731,5:00,0
19960731,6:00,0
19960731,17:00,0
19960731,18:00,0
19960731,20:00,0
19960731,21:00,0.02
19960731,22:00,0
19960801,1:00,0
19960801,2:00,0
19960801,3:00,0.05
19960801,4:00,0
19960801,5:00,0
19960801,7:00,0.32
19960801,9:00,0
19960801,11:00,0
19960801,14:00,0
19960801,15:00,0.21
19960801,16:00,0.16
19960801,17:00,0
19960801,19:00,0.14
19960801,20:00,0.11
19960801,21:00,0
19960803,6:00,0
19960803,11:00,0.06
19960803,12:00,0
19960803,14:00,0.11
19960803,15:00,0
19960803,16:00,0
19960803,17:00,0
19960803,20:00,0
19960803,21:00,0
19960809,18:00,0
19960809,19:00,0
19960809,21:00,0
19960809,22:00,0
19960812,15:00,0
19960812,16:00,0.02
19960812,18:00,0
19960812,19:00,0.02
19960812,21:00,0.18
19960812,23:00,0
19960813,0:00,0
19960813,1:00,0
19960813,4:00,0
19960813,5:00,0.09
19960813,6:00,0.58
19960813,7:00,0.07
19960813,8:00,0
19960813,9:00,0.04
19960813,10:00,0.04
19960813,11:00,0
19960813,16:00,0
19960813,17:00,0.03
19960813,18:00,0.03
19960813,21:00,0.03
19960813,22:00,0.03
19960814,1:00,0
19960814,13:00,0
19960814,14:00,0
19960814,15:00,0
19960814,17:00,0
19960814,19:00,0
19960814,20:00,0
19960815,2:00,0
19960815,3:00,0
19960816,3:00,0
19960816,4:00,0
19960816,23:00,0.26
19960817,0:00,0.02
19960824,16:00,0.27
19960824,17:00,0
19960824,18:00,0
19960824,19:00,0
19960824,21:00,0.05
19960826,7:00,0.16
19960826,8:00,0.02
19960826,11:00,0
19960826,12:00,0.03
19960826,13:00,0
19960826,14:00,0
19960826,15:00,0.15
19960826,16:00,0.21
19960826,17:00,0.09
19960827,8:00,0.07
19960827,9:00,0.08
19960827,10:00,0.05
19960827,11:00,0
19960827,12:00,0
19960827,19:00,0
19960827,20:00,0.02
19960827,21:00,0.08
19960827,23:00,0.2
19960828,0:00,0.16
19960901,1:00,0
19960903,8:00,0
19960903,9:00,0
19960903,14:00,0
19960903,15:00,0
19960904,6:00,0
19960904,7:00,0
19960904,8:00,0
19960904,9:00,0.04
19960904,10:00,0.04
19960904,12:00,0
19960904,13:00,0
19960904,14:00,0
19960904,15:00,0
19960904,17:00,0.02
19960904,20:00,0
19960905,0:00,0.03
19960905,1:00,0.04
19960905,2:00,0
19960905,16:00,0
19960905,19:00,0
19960905,21:00,0
19960906,4:00,0
19960906,5:00,0.07
19960906,7:00,0.12
19960906,8:00,0.08
19960906,9:00,0.03
19960908,17:00,0.27
19960908,18:00,0.08
19960910,0:00,0
19960910,18:00,0.02
19960910,19:00,0.07
19960910,20:00,0
19960910,21:00,0
19960910,23:00,0
19960911,0:00,0
19960911,1:00,0
19960911,3:00,0
19960911,5:00,0
19960911,6:00,0
19960911,7:00,0
19960911,14:00,0.06
19960911,15:00,0.07
19960911,16:00,0.06
19960911,18:00,0.05
19960911,19:00,0.04
19960911,20:00,0.02
19960911,21:00,0
19960911,23:00,0.1
19960912,0:00,0.1
19960912,1:00,0.09
19960912,2:00,0.08
19960912,3:00,0.08
19960912,4:00,0.07
19960912,5:00,0.07
19960912,6:00,0.05
19960912,7:00,0.05
19960912,8:00,0.04
19960912,11:00,0
19960912,12:00,0
19960912,13:00,0.02
19960912,15:00,0
19960916,18:00,0
19960916,20:00,0.02
19960916,21:00,0
19960916,22:00,0.02
19960917,0:00,0.02
19960917,3:00,0
19960917,5:00,0
19960917,8:00,0
19960918,0:00,0.02
19960922,8:00,0
19960924,22:00,0
19960928,13:00,0
19960928,14:00,0.16
19960929,3:00,0.14
19960929,4:00,0.08
19960929,5:00,0.1
19960929,6:00,0.1
19960929,7:00,0
19960929,8:00,0.03
19960929,9:00,0
19960929,13:00,0
19960929,16:00,0
19961001,1:00,0
19961001,5:00,0
19961001,6:00,0
19961001,7:00,0
19961001,8:00,0
19961002,19:00,0
19961002,21:00,0
19961002,23:00,0
19961003,0:00,0
19961003,1:00,0
19961007,4:00,0
19961007,6:00,0
19961007,8:00,0
19961007,10:00,0
19961007,11:00,0
19961007,12:00,0
19961007,13:00,0
19961007,15:00,0
19961007,18:00,0.02
19961007,19:00,0.04
19961007,20:00,0.02
19961007,21:00,0.05
19961007,22:00,0.03
19961007,23:00,0.11
19961008,0:00,0.07
19961008,1:00,0.09
19961008,2:00,0.13
19961008,3:00,0.11
19961008,4:00,0.18
19961008,5:00,0.22
19961008,6:00,0.19
19961008,7:00,0.27
19961008,9:00,0.47
